GZ_STORAGE_TYPE_TIMESERIES_1,GZ_STORAGE_TYPE_TIMESERIES_2,GZ_STORAGE_TYPE_TIMESERIES_3,GasStorageInjectionQuantity
AL,aquifer,20230103,0.0
AL,aquifer,20230130,0.0
AL,aquifer,20230213,0.0
AL,aquifer,20230216,0.0
AL,aquifer,20230306,0.0
AL,aquifer,20230315,0.0
AL,aquifer,20230403,0.0
AL,aquifer,20230410,0.0
AL,aquifer,20230530,0.0
AL,aquifer,20230517,0.0
AL,aquifer,20230630,0.0
AL,aquifer,20230615,0.0
AL,aquifer,20230727,0.0
AL,aquifer,20230710,0.0
AL,aquifer,20230803,0.0
AL,aquifer,20230831,0.0
AL,aquifer,20230906,0.0
AL,aquifer,20230912,0.0
AL,aquifer,20231005,0.0
AL,aquifer,20231020,0.0
AL,aquifer,20231129,0.0
AL,aquifer,20231121,0.0
AL,aquifer,20231228,0.0
AL,aquifer,20231218,0.0
AL,depleted field,20230103,0.0
AL,depleted field,20230130,0.0
AL,depleted field,20230213,0.0
AL,depleted field,20230216,0.0
AL,depleted field,20230306,0.0
AL,depleted field,20230315,0.0
AL,depleted field,20230403,0.0
AL,depleted field,20230410,0.0
AL,depleted field,20230530,579713.1449662689
AL,depleted field,20230517,375116.4085377943
AL,depleted field,20230630,0.0
AL,depleted field,20230615,0.0
AL,depleted field,20230727,0.0
AL,depleted field,20230710,0.0
AL,depleted field,20230803,0.0
AL,depleted field,20230831,0.0
AL,depleted field,20230906,0.0
AL,depleted field,20230912,0.0
AL,depleted field,20231005,0.0
AL,depleted field,20231020,0.0
AL,depleted field,20231129,0.0
AL,depleted field,20231121,0.0
AL,depleted field,20231228,0.0
AL,depleted field,20231218,0.0
AL,salt cavern,20230103,0.0
AL,salt cavern,20230130,0.0
AL,salt cavern,20230213,0.0
AL,salt cavern,20230216,0.0
AL,salt cavern,20230306,0.0
AL,salt cavern,20230315,0.0
AL,salt cavern,20230403,0.0
AL,salt cavern,20230410,0.0
AL,salt cavern,20230530,0.0
AL,salt cavern,20230517,211318.5729378555
AL,salt cavern,20230630,0.0
AL,salt cavern,20230615,562464.686231256
AL,salt cavern,20230727,0.0
AL,salt cavern,20230710,0.0
AL,salt cavern,20230803,0.0
AL,salt cavern,20230831,0.0
AL,salt cavern,20230906,0.0
AL,salt cavern,20230912,0.0
AL,salt cavern,20231005,0.0
AL,salt cavern,20231020,0.0
AL,salt cavern,20231129,0.0
AL,salt cavern,20231121,0.0
AL,salt cavern,20231228,0.0
AL,salt cavern,20231218,0.0
AR,aquifer,20230103,0.0
AR,aquifer,20230130,0.0
AR,aquifer,20230213,0.0
AR,aquifer,20230216,0.0
AR,aquifer,20230306,0.0
AR,aquifer,20230315,0.0
AR,aquifer,20230403,0.0
AR,aquifer,20230410,0.0
AR,aquifer,20230530,0.0
AR,aquifer,20230517,0.0
AR,aquifer,20230630,0.0
AR,aquifer,20230615,0.0
AR,aquifer,20230727,0.0
AR,aquifer,20230710,0.0
AR,aquifer,20230803,0.0
AR,aquifer,20230831,0.0
AR,aquifer,20230906,0.0
AR,aquifer,20230912,0.0
AR,aquifer,20231005,0.0
AR,aquifer,20231020,0.0
AR,aquifer,20231129,0.0
AR,aquifer,20231121,0.0
AR,aquifer,20231228,0.0
AR,aquifer,20231218,0.0
AR,depleted field,20230103,0.0
AR,depleted field,20230130,0.0
AR,depleted field,20230213,0.0
AR,depleted field,20230216,0.0
AR,depleted field,20230306,0.0
AR,depleted field,20230315,0.0
AR,depleted field,20230403,0.0
AR,depleted field,20230410,0.0
AR,depleted field,20230530,0.0
AR,depleted field,20230517,0.0
AR,depleted field,20230630,0.0
AR,depleted field,20230615,0.0
AR,depleted field,20230727,1215399.856130816
AR,depleted field,20230710,83205.06965897449
AR,depleted field,20230803,1006191.5219447783
AR,depleted field,20230831,154805.53730660668
AR,depleted field,20230906,0.0
AR,depleted field,20230912,0.0
AR,depleted field,20231005,0.0
AR,depleted field,20231020,0.0
AR,depleted field,20231129,0.0
AR,depleted field,20231121,0.0
AR,depleted field,20231228,0.0
AR,depleted field,20231218,0.0
AR,salt cavern,20230103,0.0
AR,salt cavern,20230130,0.0
AR,salt cavern,20230213,0.0
AR,salt cavern,20230216,0.0
AR,salt cavern,20230306,0.0
AR,salt cavern,20230315,0.0
AR,salt cavern,20230403,0.0
AR,salt cavern,20230410,0.0
AR,salt cavern,20230530,0.0
AR,salt cavern,20230517,0.0
AR,salt cavern,20230630,0.0
AR,salt cavern,20230615,0.0
AR,salt cavern,20230727,0.0
AR,salt cavern,20230710,0.0
AR,salt cavern,20230803,0.0
AR,salt cavern,20230831,0.0
AR,salt cavern,20230906,0.0
AR,salt cavern,20230912,0.0
AR,salt cavern,20231005,0.0
AR,salt cavern,20231020,0.0
AR,salt cavern,20231129,0.0
AR,salt cavern,20231121,0.0
AR,salt cavern,20231228,0.0
AR,salt cavern,20231218,0.0
AZ,aquifer,20230103,0.0
AZ,aquifer,20230130,0.0
AZ,aquifer,20230213,0.0
AZ,aquifer,20230216,0.0
AZ,aquifer,20230306,0.0
AZ,aquifer,20230315,0.0
AZ,aquifer,20230403,0.0
AZ,aquifer,20230410,0.0
AZ,aquifer,20230530,0.0
AZ,aquifer,20230517,0.0
AZ,aquifer,20230630,0.0
AZ,aquifer,20230615,0.0
AZ,aquifer,20230727,0.0
AZ,aquifer,20230710,0.0
AZ,aquifer,20230803,0.0
AZ,aquifer,20230831,0.0
AZ,aquifer,20230906,0.0
AZ,aquifer,20230912,0.0
AZ,aquifer,20231005,0.0
AZ,aquifer,20231020,0.0
AZ,aquifer,20231129,0.0
AZ,aquifer,20231121,0.0
AZ,aquifer,20231228,0.0
AZ,aquifer,20231218,0.0
AZ,depleted field,20230103,0.0
AZ,depleted field,20230130,0.0
AZ,depleted field,20230213,0.0
AZ,depleted field,20230216,0.0
AZ,depleted field,20230306,0.0
AZ,depleted field,20230315,0.0
AZ,depleted field,20230403,0.0
AZ,depleted field,20230410,0.0
AZ,depleted field,20230530,0.0
AZ,depleted field,20230517,0.0
AZ,depleted field,20230630,0.0
AZ,depleted field,20230615,0.0
AZ,depleted field,20230727,0.0
AZ,depleted field,20230710,0.0
AZ,depleted field,20230803,0.0
AZ,depleted field,20230831,0.0
AZ,depleted field,20230906,0.0
AZ,depleted field,20230912,0.0
AZ,depleted field,20231005,0.0
AZ,depleted field,20231020,0.0
AZ,depleted field,20231129,0.0
AZ,depleted field,20231121,0.0
AZ,depleted field,20231228,0.0
AZ,depleted field,20231218,0.0
AZ,salt cavern,20230103,0.0
AZ,salt cavern,20230130,0.0
AZ,salt cavern,20230213,0.0
AZ,salt cavern,20230216,0.0
AZ,salt cavern,20230306,0.0
AZ,salt cavern,20230315,0.0
AZ,salt cavern,20230403,0.0
AZ,salt cavern,20230410,0.0
AZ,salt cavern,20230530,0.0
AZ,salt cavern,20230517,0.0
AZ,salt cavern,20230630,0.0
AZ,salt cavern,20230615,0.0
AZ,salt cavern,20230727,0.0
AZ,salt cavern,20230710,0.0
AZ,salt cavern,20230803,0.0
AZ,salt cavern,20230831,0.0
AZ,salt cavern,20230906,0.0
AZ,salt cavern,20230912,0.0
AZ,salt cavern,20231005,0.0
AZ,salt cavern,20231020,0.0
AZ,salt cavern,20231129,0.0
AZ,salt cavern,20231121,0.0
AZ,salt cavern,20231228,0.0
AZ,salt cavern,20231218,0.0
CA,aquifer,20230103,0.0
CA,aquifer,20230130,0.0
